file,info,pop,n,fsc,chl,pe,vol
Ribalet.20140826.A.0003.fcs,45S,crypto2,232,27647,23532,30483,0.1
Ribalet.20140826.A.0004.fcs,49M,beads,523,50300,30457,49448,0.08
Ribalet.20140826.A.0004.fcs,49M,synecho,507,18693,14000,15245,0.08
Ribalet.20140826.A.0004.fcs,49M,crypto1,242,27268,24446,33139,0.08
Ribalet.20140826.A.0004.fcs,49M,crypto2,338,29329,22836,28811,0.08
Ribalet.20140826.A.0005.fcs,53B,beads,590,50420,30550,49514,0.08
Ribalet.20140826.A.0005.fcs,53B,synecho,211,18522,13898,17087,0.08
Ribalet.20140826.A.0005.fcs,53B,crypto1,258,25033,25940,34515,0.08
Ribalet.20140826.A.0005.fcs,53B,crypto2,349,27698,25605,31824,0.08
Ribalet.20140826.A.0006.fcs,71B,beads,525,50322,30552,49519,0.09
Ribalet.20140826.A.0006.fcs,71B,synecho,823,19656,18175,19944,0.09
Ribalet.20140826.A.0006.fcs,71B,crypto1,348,25456,27879,36280,0.09
Ribalet.20140826.A.0006.fcs,71B,crypto2,351,25735,25944,32394,0.09
Ribalet.20140826.A.0007.fcs,105S,beads,304,50394,30599,49536,0.06
Ribalet.20140826.A.0007.fcs,105S,synecho,653,20171,19310,21849,0.06
Ribalet.20140826.A.0007.fcs,105S,crypto1,183,25236,27966,37329,0.06
Ribalet.20140826.A.0007.fcs,105S,crypto2,93,28238,28444,35478,0.06
